"","stream","date","nh4.mgl","no3.mgl","po4.mgl","din.mgl"
"1","TOWR",2018-09-05,0.00978,0.00771,0.01198,0.01749
"2","TOWR",2018-09-19,0.0021,0.01012,0.00402,0.01222
"3","TOWR",2018-10-03,0,0.00447,0.00204,0.00447
"4","TOWR",2018-10-22,0.00199,0.00258,0.00248,0.00457
"5","TOWR",2018-11-07,0.00141,0.00038,0.00335,0.00179
"6","TOWR",2018-11-20,0,0,0.00325,0
"7","TOWR",2018-12-03,5e-05,0.00025,7e-05,3e-04
"8","TOWR",2018-12-18,0.00366,0,0.00166,0.00366
"9","TOWR",2019-01-02,0.00227,0.00626,0.00071,0.00853
"10","TOWR",2019-01-15,0.00106,0.00114,0.00273,0.0022
"11","TOWR",2019-02-01,0.00476,0.00424,0,0.009
"12","TOWR",2019-02-19,0.00915,0.00359,0.05945,0.01274
"13","TOWR",2019-03-05,0.00388,0.00353,0.00074,0.00741
"14","TOWR",2019-03-18,0.00289,0.00675,0.00024,0.00964
"15","TOWR",2019-04-10,0.00601,0,0.00287,0.00601
"16","TOWR",2019-04-24,0.00112,0.00891,0.00268,0.01003
"17","TOWR",2019-05-05,0.00449,0.01915,0.00293,0.02364
"18","TOWR",2019-05-17,7e-04,0.00416,0.00314,0.00486
"19","TOWR",2019-05-29,0.00485,0,0.00176,0.00485
"20","TOWR",2019-06-12,0.01405,0.03807,0.002575,0.05212
"21","TOWR",2019-06-26,0.013455,0.04336,0.003375,0.056815
"22","TOWR",2019-07-11,0.00941,0.01126,0.00238,0.02067
"23","TOWR",2019-07-24,0.00899,0.01955,0.00295,0.02854
"24","TOWR",2019-08-07,0.00628,0.01455,0.00295,0.02083
"25","TOWR",2019-08-23,0.01353,0.00895,0.00327,0.02248
"26","WS55",2018-09-05,0.00372,0.01228,0.00216,0.016
"27","WS55",2018-09-19,0.00333,0.03779,0.00513,0.04112
"28","WS55",2018-10-03,0.00419,0.01183,0.0034,0.01602
"29","WS55",2018-10-22,0.00051,0.00713,0.00157,0.00764
"30","WS55",2018-11-07,0.00338,0.00023,0.00364,0.00361
"31","WS55",2018-11-20,0,0.00123,0.00273,0.00123
"32","WS55",2018-12-03,0.00258,0,0.00288,0.00258
"33","WS55",2018-12-18,0.00385,0,0.002,0.00385
"34","WS55",2019-01-02,0.00244,0.00105,0.00216,0.00349
"35","WS55",2019-01-15,0.00751,0.00186,0.00416,0.00937
"36","WS55",2019-02-01,0.00163,0.00102,0.00061,0.00265
"37","WS55",2019-02-19,0.00202,0.00122,0.00257,0.00324
"38","WS55",2019-03-05,0.00646,0.0012,0.00051,0.00766
"39","WS55",2019-03-18,0.00368,0.00157,0.00195,0.00525
"40","WS55",2019-04-10,0.00586,0.01605,0.00226,0.02191
"41","WS55",2019-04-24,0.01209,0.04217,0.00302,0.05426
"42","WS55",2019-05-05,0.00696,0.03734,0.00176,0.0443
"43","WS55",2019-05-17,0.0259,0.01491,0.00312,0.04081
"44","WS55",2019-05-29,0.01443,0.04806,0.00281,0.06249
"45","WS55",2019-06-12,0.00285,0.00564,0.00308,0.00849
"46","WS55",2019-06-26,0.00415,0.00986,0.00169,0.01401
"47","WS55",2019-07-11,0.011,0.01453,0.00301,0.02553
"48","WS55",2019-07-24,0.04145,0.01514,0.00318,0.05659
"49","WS55",2019-08-07,0.00941,0.01875,0.0019,0.02816
"50","WS55",2019-08-23,0.00624,0.00853,0.00262,0.01477
